DFH	Dream Finders Homes	Residential Construction	1.93B
DFIN	Donnelley Financial Solutions	Capital Markets	1.16B
DFPH	DFP Healthcare Acquisitions	Shell Companies	285.77M
DFS	Discover Financial Services	Consumer Finance	36.08B
DG	Dollar General	Multiline Retail	50.87B
DGICA	Donegal Group	Insurance	466.63M
DGICB	Donegal Group	Insurance	466.63M
DGII	Digi International	Communications Equipment	745.33M
DGLY	Digital Ally	Electronic Equipment, Instruments & C...	73.66M
DGNS	Dragoneer Growth Opportunities II	Shell Companies	355.72M
DGNU	Dragoneer Growth Opportunities III	Shell Companies	491.25M
DGX	Quest Diagnostics	Health Care Providers & Services	18.93B
DHBC	DHB Capital	Shell Companies	348.52M
DHC	Diversified Healthcare Trust	Equity Real Estate Investment Trusts...	829.55M
DHCA	DHC Acquisition	Shell Companies	374.44M
DHHC	DiamondHead Holdings	Shell Companies	418.74M
DHI	D.R. Horton	Household Durables	32.18B
DHIL	Diamond Hill Investment Group	Capital Markets	567.27M
DHR	Danaher	Health Care Equipment & Supplies	235.58B
DHT	DHT Holdings	Oil, Gas & Consumable Fuels	975.60M
DHX	DHI Group	Interactive Media & Services	218.04M
DIBS	1stdibs.com	Internet Retail	594.47M
DIDI	Xiaoju Kuaizhi	Software-Application	41.37B
DILA	DILA Capital Acquisition	Shell Companies	69.02M
DIN	Dine Brands Global	Hotels, Restaurants & Leisure	1.36B
DIOD	Diodes Incorporated	Semiconductors & Semiconductor Equipment	4.21B
DIS	Disney	Entertainment	334.57B
DISA	Disruptive Acquisition I	Shell Companies	301.88M
DISCA	Discovery	Media	13.02B
DISCB	Discovery	Media	13.02B
DISCK	Discovery	Media	13.02B
DISH	DISH Network	Media	22.57B
DIT	AMCON Distributing	Distributors	88.48M
DJCO	Daily Journal	Media	448.26M
DK	Delek US Holdings	Oil, Gas & Consumable Fuels	1.21B
DKDCA	Data Knights Acquisition	Shell Companies	130.90M
DKL	Delek Logistics Partners	Oil, Gas & Consumable Fuels	1.90B
DKNG	DraftKings	Hotels, Restaurants & Leisure	25.20B
DKS	Dick's Sporting Goods	Specialty Retail	11.70B
DLA	Delta Apparel	Textiles, Apparel & Luxury Goods	214.19M
DLB	Dolby Laboratories	Electronic Equipment, Instruments & C...	9.60B
DLCA	Deep Lake Capital Acquisition	Shell Companies	251.25M
DLHC	DLH Holdings	Professional Services	149.16M
DLNG	Dynagas LNG Partners	Oil, Gas & Consumable Fuels	109.85M
DLO	DLocal	Software-Infrastructure	18.37B
DLPN	Dolphin Entertainment	Entertainment	97.57M
DLR	Digital Realty Trust	Equity Real Estate Investment Trusts...	44.08B
DLTH	Duluth Holdings	Internet & Direct Marketing Retail	485.27M
DLTR	Dollar Tree	Multiline Retail	20.29B
DLX	Deluxe Corporation	Commercial Services & Supplies	1.58B
DM	Desktop Metal	Computer Hardware	2.12B
DMAC	DiaMedica Therapeutics	Biotechnology	76.84M
DMLP	Dorchester Minerals	Oil, Gas & Consumable Fuels	605.78M
DMRC	Digimarc	Software	600.69M
DMS	Digital Media Solutions	Advertising Agencies	450.42M
DMTK	DermTech	Biotechnology	1.05B
DMYI	dMY Technology Group III	Shell Companies	375.00M
DMYQ	dMY Technology Group IV	Shell Companies	427.58M
DNAA	Social Capital Suvretta Holdings I	Shell Companies	272.14M
DNAB	Social Capital Suvretta Holdings II	Shell Companies	269.65M
DNAC	Social Capital Suvretta Holdings III	Shell Companies	270.20M
DNAD	Social Capital Suvretta Holdings IV	Entertainment	250.37M
DNAY	Codex DNA	Medical Devices	379.03M
DNB	Dun & Bradstreet	Professional Services	7.67B
DNLI	Denali Therapeutics	Biotechnology	6.28B
DNMR	Danimer Scientific	Specialty Chemicals	1.70B
DNN	Denison Mines	Oil, Gas & Consumable Fuels	1.28B
DNOW	NOW Inc.	Trading Companies & Distributors	811.50M
DNUT	Krispy Kreme	Grocery Stores	2.67B
DNZ	D & Z Media Acquisition	Shell Companies	347.88M
DOC	Physicians Realty Trust	Equity Real Estate Investment Trusts...	3.97B
DOCN	DigitalOcean	Software-Infrastructure	7.52B
DOCS	Doximity	Health Information Services	18.94B
DOCU	DocuSign	Software	54.52B
DOGZ	Dogness International	Textiles, Apparel & Luxury Goods	81.10M
DOLE	Dole	Farm Products	1.37B
DOMA	Doma Holdings	Shell Companies	342.84M
DOMO	Domo, Inc.	Software	2.50B
DOOO	BRP Inc.	Leisure Products	7.77B
DOOR	Masonite International	Building Products	2.71B
DORM	Dorman Products	Auto Components	2.94B
DOV	Dover	Machinery	24.99B
DOW	Dow Inc	Chemicals	45.05B
DOX	Amdocs	IT Services	9.81B
DOYU	DouYu	Entertainment	1.19B
DPRO	Draganfly	Aerospace & Defense	151.58M
DPW	DPW Holdings	Electrical Equipment	155.83M
DPZ	Domino's Pizza	Hotels, Restaurants & Leisure	18.83B
DQ	Daqo New Energy	Semiconductors & Semiconductor Equipment	4.51B
DRAY	Macondray Capital Acquisition I	Shell Companies	304.38M
DRD	DRDGOLD Limited	Metals & Mining	773.88M
DRE	Duke Realty	Equity Real Estate Investment Trusts...	19.20B
DRH	DiamondRock Hospitality	Equity Real Estate Investment Trusts...	1.81B
DRI	Darden Restaurants	Hotels, Restaurants & Leisure	19.37B
DRIO	DarioHealth	Health Care Equipment & Supplies	215.61M
DRMA	Dermata Therapeutics	Biotechnology	37.53M
DRNA	Dicerna Pharmaceuticals	Biotechnology	1.69B
DRQ	Dril-Quip	Energy Equipment & Services	832.28M
DRRX	DURECT Corporation	Pharmaceuticals	275.27M
DRTT	DIRTT Environmental Solutions	Building Products	307.18M
DRVN	Driven Brands	Auto & Truck Dealerships	5.18B
DS	Drive Shack	Hotels, Restaurants & Leisure	264.29M
DSAC	Duddell Street Acquisition	Shell Companies	212.84M
DSEY	Diversey Holdings	Personal Services	4.72B
DSGN	Design Therapeutics	Biotechnology	935.85M
DSGX	Descartes Systems Group	Software	7.21B
DSKE	Daseke	Road & Rail	542.22M
DSP	Viant Technology	Software-Application	826.70M
DSPG	DSP Group	Semiconductors & Semiconductor Equipment	527.06M
DSS	Document Security Systems	Commercial Services & Supplies	91.25M
DSWL	Deswell Industries	Electronic Equipment, Instruments & C...	66.45M
DSX	Diana Shipping	Marine	505.27M
DT	Dynatrace	Software	19.93B
DTE	DTE Energy	Multi-Utilities	23.01B
DTEA	DAVIDsTEA	Specialty Retail	93.21M
DTIL	Precision BioSciences	Biotechnology	758.43M
DTM	DT Midstream	Oil & Gas Midstream	4.51B
DTOC	Digital Transformation Opportunities	Shell Companies	404.79M
DTSS	Datasea	Software	49.26M
DTST	Data Storage Corporation	Information Technology Services	47.57M
DUK	Duke Energy	Electric Utilities	79.40B
DUNE	Dune Acquisition	Shell Companies	211.10M
DUO	Fangdd Network Group	Interactive Media & Services	117.37M
DUOL	Duolingo	Software-Application	6.22B
DUOT	Duos Technologies Group	Software	23.87M
DV	DoubleVerify	Software-Application	5.68B
DVA	DaVita	Health Care Providers & Services	12.89B
DVAX	Dynavax Technologies	Biotechnology	2.01B
DVD	Dover Motorsports	Hotels, Restaurants & Leisure	90.39M
DVN	Devon Energy	Oil, Gas & Consumable Fuels	19.00B
DWIN	Delwinds Insurance Acquisition	n/a	203.57M
DWSN	Dawson Geophysical	Energy Equipment & Services	47.74M
DX	Dynex Capital	Mortgage Real Estate Investment Trus...	746.56M
DXC	DXC Technology	IT Services	8.66B
DXCM	DexCom	Health Care Equipment & Supplies	53.15B
DXF	Dunxin Financial Holdings	Diversified Financial Services	31.32M
DXPE	DXP Enterprises	Trading Companies & Distributors	530.30M
DXR	Daxor	Health Care Equipment & Supplies	47.12M
DXYN	Dixie Group	Household Durables	80.74M
DY	Dycom Industries	Construction & Engineering	2.10B
DYAI	Dyadic International	Biotechnology	160.89M
DYN	Dyne Therapeutics	Independent Power and Renewable Elect...	817.89M
DYNS	Dynamics Special Purpose	Shell Companies	254.25M
DYNT	Dynatronics	Health Care Equipment & Supplies	22.05M
DZSI	DZS, Inc	Communications Equipment	373.16M
E	Eni SpA	Oil, Gas & Consumable Fuels	44.54B
EA	Electronic Arts	Entertainment	41.30B
EAC	Edify Acquisition	Shell Companies	67.90M
EAF	GrafTech International	Electrical Equipment	2.90B
EAR	Eargo	Medical Devices	793.78M
EARN	Ellington Residential Mortgage	Mortgage Real Estate Investment Trus...	145.98M
EAST	Eastside Distilling	Beverages	40.89M
EAT	Brinker International	Hotels, Restaurants & Leisure	2.36B
EB	Eventbrite	Interactive Media & Services	1.60B
EBAC	European Biotech Acquisition	Shell Companies	158.90M
EBAY	eBay Inc.	Internet & Direct Marketing Retail	47.17B
EBC	Eastern Bankshares	Banks	3.41B
EBET	Esports Technologies	Gambling	435.05M
EBF	Ennis, Inc.	Commercial Services & Supplies	492.57M
EBIX	Ebix, Inc.	Software	828.97M
EBMT	Eagle Bancorp Montana	Banks	149.56M
EBON	Ebang International	Computer Hardware	442.29M
EBR	Centrais Eletricas Brasileiras	Electric Utilities	11.01B
EBS	Emergent BioSolutions	Biotechnology	3.07B
EBSB	Meridian Bancorp	Thrifts & Mortgage Finance	1.02B
EBTC	Enterprise Bancorp	Banks	387.16M
EC	Ecopetrol	Oil, Gas & Consumable Fuels	27.26B
ECC	Eagle Point Credit	n/a	218.84M
ECHO	Echo Global Logistics	Air Freight & Logistics	1.27B
ECL	Ecolab	Chemicals	64.61B
ECOL	US Ecology	Commercial Services & Supplies	1.12B
ECOM	ChannelAdvisor	Software	800.13M
ECOR	electroCore	Health Care Equipment & Supplies	68.92M
ECPG	Encore Capital Group	Consumer Finance	1.44B
ECVT	Ecovyst	Specialty Chemicals	1.70B
ED	Consolidated Edison	Multi-Utilities	26.39B
EDAP	EDAP TMS S.A.	Health Care Equipment & Supplies	200.08M
EDIT	Editas Medicine	Biotechnology	4.51B
EDN	Edenor SA	Electric Utilities	528.00M
EDR	Endeavor Group Holdings	Entertainment	7.12B
EDRY	EuroDry	Marine	77.77M
EDSA	Edesa Biotech	Biotechnology	78.61M
EDTK	Skillful Craftsman	Education & Training Services	18.96M
EDTX	EdtechX Holdings Acquisition II	Shell Companies	166.51M
EDU	New Oriental Education & Technology	Diversified Consumer Services	3.82B
EDUC	Educational Development	Distributors	91.26M
EEFT	Euronet Worldwide	IT Services	6.78B
EEIQ	Elite Education Group	Diversified Consumer Services	55.73M
EEX	Emerald Holding	Media	316.30M
EFC	Ellington Financial	Mortgage Real Estate Investment Trus...	918.74M
EFOI	Energy Focus	Electrical Equipment	16.53M
EFSC	Enterprise Financial Services	Banks	1.73B
EFTR	eFFECTOR Therapeutics	Shell Companies	383.00M
EFX	Equifax	Professional Services	33.25B
EGAN	eGain Corporation	Software	354.91M
EGBN	Eagle Bancorp - Maryland	Banks	1.74B
EGGF	EG Acquisition	Shell Companies	302.50M
EGHT	8x8, Inc.	Software	2.68B
EGLE	Eagle Bulk Shipping	Marine	685.38M
EGLX	Enthusiast Gaming	Electronic Gaming & Multimedia	513.22M
EGO	Eldorado Gold	Metals & Mining	1.51B
EGP	EastGroup Properties	Equity Real Estate Investment Trusts...	7.04B
EGRX	Eagle Pharmaceuticals	Biotechnology	677.12M
EGY	VAALCO Energy	Oil, Gas & Consumable Fuels	145.29M
EH	EHang Holdings	Aerospace & Defense	1.46B
EHC	Encompass Health	Health Care Providers & Services	7.86B
EHTH	eHealth	Insurance	987.20M
EIC	Eagle Point Income	n/a	105.90M
EIG	Employers Holdings	Insurance	1.13B
EIGR	Eiger BioPharmaceuticals	Biotechnology	253.96M
EIX	Edison International	Electric Utilities	22.07B
EJFA	EJF Acquisition	Shell Companies	350.03M
EJH	E-home Household Service Holdings Ltd	Specialty Business Services	123.82M
EKSO	Ekso Bionics Holdings	Health Care Equipment & Supplies	56.95M
EL	Estée Lauder	Personal Products	121.29B
ELA	Envela	Specialty Retail	116.05M
ELAN	Elanco Animal Health	Pharmaceuticals	15.79B
ELDN	Eledon Pharmaceuticals	Biotechnology	109.73M
ELEV	Elevation Oncology	Biotechnology	243.17M
ELF	e.l.f. Beauty	Personal Products	1.57B
ELLO	Ellomay Capital	Independent Power and Renewable Elect...	343.45M
ELMD	Electromed	Health Care Equipment & Supplies	113.15M
ELMS	Electric Last Mile	Auto Manufacturers	1.01B
ELOX	Eloxx Pharmaceuticals	Pharmaceuticals	143.96M
ELP	Companhia Paranaense de Energia	Electric Utilities	17.51B
ELS	Equity LifeStyle Properties	Equity Real Estate Investment Trusts...	15.44B
ELSE	Electro-Sensors	Electronic Equipment, Instruments & C...	17.96M
ELTK	Eltek	Electronic Equipment, Instruments & C...	36.27M
ELVT	Elevate Credit	Consumer Finance	115.92M
ELY	Callaway Golf	Leisure Products	5.27B
ELYM	Eliem Therapeutics	Biotechnology	659.06M
ELYS	Elys Game Technology	Gambling	120.38M
EM	Smart Share Global	Personal Services	735.84M
EMAN	eMagin	Semiconductors & Semiconductor Equipment	178.36M
EMCF	Emclaire Financial	Banks	74.83M
EME	EMCOR Group	Construction & Engineering	6.28B
EMKR	EMCORE Corporation	Communications Equipment	270.73M
EML	Eastern Company	Machinery	162.86M
EMN	Eastman Chemical	Chemicals	14.86B
EMR	Emerson Electric	Electrical Equipment	59.83B
EMX	EMX Royalty	Metals & Mining	299.32M
ENB	Enbridge	Oil, Gas & Consumable Fuels	80.72B
ENBL	Enable Midstream Partners	Oil, Gas & Consumable Fuels	3.41B
ENDP	Endo International	Pharmaceuticals	651.46M
ENFA	890 5th Avenue Partners	Shell Companies	363.85M
ENG	ENGlobal	Energy Equipment & Services	68.16M
ENIA	Enel Americas	Electric Utilities	13.72B
ENIC	Enel Chile	Electric Utilities	3.31B
ENLC	EnLink Midstream	Oil, Gas & Consumable Fuels	2.96B
ENLV	Enlivex Therapeutics	Software	207.41M
ENNV	ECP Environmental Growth Opportunities	Shell Companies	426.51M
ENOB	Enochian Biosciences	Biotechnology	409.38M
ENPC	Executive Network Partnering	Shell Companies	432.30M
ENPH	Enphase Energy	Semiconductors & Semiconductor Equipment	21.30B
ENR	Energizer Holdings	Household Products	2.61B
ENS	EnerSys	Electrical Equipment	3.40B
ENSC	Ensysce Biosciences	Biotechnology	84.90M
ENSG	The Ensign Group	Health Care Providers & Services	4.43B
ENSV	Enservco	Energy Equipment & Services	14.18M
ENTA	Enanta Pharmaceuticals	Biotechnology	1.13B
ENTG	Entegris	Semiconductors & Semiconductor Equipment	16.36B
ENTX	Entera Bio	Biotechnology	135.16M
ENV	Envestnet	Software	4.14B
ENVA	Enova International	Consumer Finance	1.18B
ENVB	Enveric Biosciences	Biotechnology	73.94M
ENVI	Environmental Impact Acquisition	Software	204.31M
ENVX	Enovix	Electrical Equipment & Parts	2.39B
ENZ	Enzo Biochem	Health Care Providers & Services	169.17M
EOCW	Elliott Opportunity II	Shell Companies	637.97M
EOG	EOG Resources	Oil, Gas & Consumable Fuels	39.20B
EOLS	Evolus	Pharmaceuticals	442.61M
EOSE	Eos Energy Enterprises	Electrical Equipment & Parts	694.59M
EPAC	Enerpac Tool Group	Machinery	1.45B
EPAM	EPAM Systems	IT Services	35.51B
EPAY	Bottomline Technologies	Software	1.90B
EPC	Edgewell Personal Care	Personal Products	2.15B
EPD	Enterprise Products Partners	Oil, Gas & Consumable Fuels	48.28B
EPHY	Epiphany Technology Acquisition	Shell Companies	495.79M
EPIX	ESSA Pharma	Biotechnology	398.06M
EPM	Evolution Petroleum	Oil, Gas & Consumable Fuels	154.80M
EPR	EPR Properties	Equity Real Estate Investment Trusts...	3.57B
EPRT	Essential Properties Realty Trust	Equity Real Estate Investment Trusts...	3.68B
EPSN	Epsilon Energy	Oil, Gas & Consumable Fuels	122.36M
EPWR	Empowerment & Inclusion Capital I	Shell Companies	337.76M
EPZM	Epizyme	Biotechnology	556.24M
EQ	Equillium	Biotechnology	171.60M
EQBK	Equity Bancshares	Banks	455.87M
EQC	Equity Commonwealth	Equity Real Estate Investment Trusts...	3.15B
EQD	Equity Distribution Acquisition	Shell Companies	507.67M
EQH	Equitable Holdings	Diversified Financial Services	12.21B
EQHA	EQ Health Acquisition	Shell Companies	265.65M
EQIX	Equinix	Equity Real Estate Investment Trusts...	75.75B
EQNR	Equinor	Oil, Gas & Consumable Fuels	74.08B
EQOS	Diginex	Capital Markets	192.12M
EQR	Equity Residential	Equity Real Estate Investment Trusts...	30.48B
EQS	Equus Total Return	Capital Markets	33.93M
EQT	EQT Corporation	Oil, Gas & Consumable Fuels	7.33B
EQX	Equinox Gold Corp.	Metals & Mining	2.03B
ERAS	Erasca	Biotechnology	2.44B
ERES	East Resources Acquisition	Shell Companies	422.63M
ERF	Enerplus	Oil, Gas & Consumable Fuels	1.51B
ERIC	Ericsson	Communications Equipment	39.59B
ERIE	Erie Indemnity	Insurance	9.23B
ERII	Energy Recovery	Machinery	1.23B
ERJ	Embraer	Aerospace & Defense	3.00B
ERO	Ero Copper	Metals & Mining	2.04B
ERYP	Erytech Pharma	Biotechnology	171.15M
ES	Eversource Energy	Electric Utilities	30.35B
ESBA	Empire State Realty OP	Equity Real Estate Investment Trusts...	2.83B
ESBK	Elmira Savings Bank	Thrifts & Mortgage Finance	47.45M
ESCA	Escalade	Leisure Products	288.81M
ESE	ESCO Technologies	Machinery	2.15B
ESEA	Euroseas	Marine	222.56M
ESGC	Eros STX Global	Entertainment	307.50M
ESGR	Enstar Group	Insurance	4.31B
ESI	Element Solutions	Chemicals	5.36B
ESLT	Elbit Systems	Aerospace & Defense	6.53B
ESM	ESM Acquisition	Shell Companies	369.86M
ESNT	Essent Group	Thrifts & Mortgage Finance	5.04B
ESP	Espey Manufacturing & Electronics	Electrical Equipment	38.78M
ESPR	Esperion Therapeutics	Biotechnology	333.96M
ESQ	Esquire Financial Holdings	Banks	211.35M
ESRT	Empire State Realty Trust	Equity Real Estate Investment Trusts...	1.69B
ESS	Essex Property Trust	Equity Real Estate Investment Trusts...	20.94B
ESSA	ESSA Bancorp	Thrifts & Mortgage Finance	176.59M
ESSC	East Stone Acquisition	Shell Companies	180.40M
ESTA	Establishment Labs Holdings	Health Care Equipment & Supplies	1.73B
ESTC	Elastic	Software	14.66B
ESTE	Earthstone Energy	Oil, Gas & Consumable Fuels	701.21M
ESXB	Community Bankers Trust	Banks	235.52M
ET	Energy Transfer LP	Oil, Gas & Consumable Fuels	25.16B
ETAC	E.merge Technology Acquisition	Shell Companies	745.24M
ETD	Ethan Allen Interiors	Furnishings, Fixtures & Appliances	600.65M
ETN	Eaton	Electrical Equipment	63.93B
ETNB	89bio	Biotechnology	400.55M
ETON	Eton Pharmaceuticals	Pharmaceuticals	123.25M
ETR	Entergy	Electric Utilities	22.47B
ETRN	Equitrans Midstream	Oil, Gas & Consumable Fuels	3.91B
ETSY	Etsy, Inc.	Internet & Direct Marketing Retail	27.47B
ETTX	Entasis Therapeutics	Biotechnology	131.52M
ETWO	E2open Parent Holdings	Software-Infrastructure	4.07B
EUCR	Eucrates Biomedical Acquisition	Shell Companies	131.36M
EURN	Euronav	Oil, Gas & Consumable Fuels	1.68B
EUSG	European Sustainable Growth Acquisition	Shell Companies	178.85M
EVA	Enviva Partners	Oil, Gas & Consumable Fuels	2.39B
EVAX	Evaxion Biotech	Biotechnology	178.74M
EVBG	Everbridge	Software	6.16B
EVBN	Evans Bancorp	Banks	208.17M
EVC	Entravision Communications	Media	622.28M
EVCM	EverCommerce	Software-Infrastructure	3.50B
EVER	EverQuote	Interactive Media & Services	630.96M
EVFM	Evofem Biosciences	Pharmaceuticals	128.05M
EVGN	Evogene	Biotechnology	128.06M
EVGO	EVgo	Specialty Retail	2.24B
EVH	Evolent Health	Health Care Technology	2.20B
EVI	EVI Industries	Trading Companies & Distributors	303.02M
EVK	Ever-Glory International Group	Textiles, Apparel & Luxury Goods	44.88M
EVLO	Evelo Biosciences	Biotechnology	420.78M
EVLV	Evolv Technologies	Security & Protection Services	911.07M
EVOJ	Evo Acquisition	Shell Companies	151.18M
EVOK	Evoke Pharma	Pharmaceuticals	36.66M
EVOL	Evolving Systems	Software	26.84M
EVOP	EVO Payments	IT Services	1.19B
EVR	Evercore	Capital Markets	5.51B
EVRG	Evergy	Electric Utilities	15.29B
EVRI	Everi Holdings	Hotels, Restaurants & Leisure	1.89B
EVTC	Evertec	IT Services	3.27B
EW	Edwards Lifesciences	Health Care Equipment & Supplies	75.35B
EWBC	East West Bancorp	Banks	10.19B
EWCZ	European Wax Center	Household & Personal Products	1.48B
EWTX	Edgewise Therapeutics	Biotechnology	793.61M
EXAS	Exact Sciences	Biotechnology	17.82B
EXC	Exelon	Electric Utilities	48.80B
EXEL	Exelixis	Biotechnology	6.29B
EXK	Endeavour Silver	Metals & Mining	775.60M
EXLS	ExlService Holdings	IT Services	4.08B
EXN	Excellon Resources	Other Industrial Metals & Mining	57.25M
EXP	Eagle Materials	Construction Materials	6.10B
EXPD	Expeditors International	Air Freight & Logistics	21.37B
EXPE	Expedia	Internet & Direct Marketing Retail	21.93B
EXPI	eXp World Holdings	Real Estate Management & Development	6.70B
EXPO	Exponent	Professional Services	5.97B
EXPR	Express	Specialty Retail	353.64M
EXR	Extra Space Storage	Equity Real Estate Investment Trusts...	25.04B
EXTN	Exterran	Energy Equipment & Services	121.09M
EXTR	Extreme Networks	Communications Equipment	1.31B
EYE	National Vision Holdings	Specialty Retail	4.80B
EYEG	EyeGate Pharmaceuticals	Pharmaceuticals	20.57M
EYEN	Eyenovia	Pharmaceuticals	127.92M
EYES	Second Sight Medical Products	Health Care Equipment & Supplies	141.48M
EYPT	EyePoint Pharmaceuticals	Pharmaceuticals	295.18M
EZGO	EZGO Technologies	Recreational Vehicles	42.49M
EZPW	EZCORP, Inc.	Consumer Finance	372.78M
F	Ford Motor	Automobiles	50.65B
FA	First Advantage	Specialty Business Services	3.69B
FACA	Figure Acquisition I	Shell Companies	403.32M
FACT	Freedom Acquisition I	Shell Companies	97.50M
FAF	First American Financial	Insurance	7.41B
FAMI	Farmmi	Food Products	108.99M
FANG	Diamondback Energy	Oil, Gas & Consumable Fuels	13.59B
FANH	Fanhua	Insurance	713.06M
FARM	Farmer Brothers	Food Products	157.43M
FARO	FARO Technologies	Electronic Equipment, Instruments & C...	1.21B
FAST	Fastenal	Trading Companies & Distributors	30.79B
FAT	FAT Brands	Hotels, Restaurants & Leisure	184.83M
FATBB	FAT Brands	Hotels, Restaurants & Leisure	184.83M
FATE	Fate Therapeutics	Biotechnology	6.51B
FB	Facebook	Interactive Media & Services	1,067.69B
FBC	Flagstar Bancorp	Thrifts & Mortgage Finance	2.58B
FBHS	Fortune Brands	Building Products	13.20B
FBIO	Fortress Biotech	Biotechnology	338.56M
FBIZ	First Business Financial Services	Banks	238.72M
FBK	FB Financial	Banks	1.92B
FBMS	First Bancshares	Banks	821.06M
FBNC	First Bancorp	Banks	1.14B
FBP	First BanCorp - Puerto Rico	Banks	2.57B
FBRX	Forte Biosciences	Biotechnology	57.87M
FC	Franklin Covey	Professional Services	590.20M
FCAP	First Capital	Banks	141.70M
FCAX	Fortress Capital Acquisition	Shell Companies	487.00M
FCBC	First Community Bancshares	Banks	512.53M
FCCO	First Community	Banks	144.95M
FCCY	1st Constitution Bancorp	Banks	226.58M
FCEL	FuelCell Energy	Electrical Equipment	1.80B
FCF	First Commonwealth Financial	Banks	1.24B
FCFS	FirstCash	Consumer Finance	3.54B
FCN	FTI Consulting	Professional Services	4.63B
FCNCA	First Citizens BancShares	Banks	8.38B
FCPT	Four Corners Property Trust	Equity Real Estate Investment Trusts...	2.03B
FCRD	First Eagle Alternative Capital	Asset Management	138.50M
FCUV	Focus Universal	Electronic Equipment, Instruments & C...	622.49M
FCX	Freeport-McMoRan	Metals & Mining	52.09B
FDBC	Fidelity D&D Bancorp	Banks	297.87M
FDMT	4D Molecular Therapeutics	Biotechnology	906.81M
FDP	Fresh Del Monte Produce	Food Products	1.44B
FDS	FactSet Research Systems	Capital Markets	14.51B
FDUS	Fidus Investment	Capital Markets	447.20M
FDX	FedEx	Air Freight & Logistics	68.56B
FE	FirstEnergy	Electric Utilities	20.51B
FEDU	Four Seasons Education	Diversified Consumer Services	30.06M
FEIM	Frequency Electronics	Electronic Equipment, Instruments & C...	101.34M
FELE	Franklin Electric	Machinery	3.86B
FEMY	Femasys	Medical Instruments & Supplies	88.73M
FENC	Fennec Pharmaceuticals	Biotechnology	213.00M
FENG	Phoenix New Media	Interactive Media & Services	94.78M
FERG	Ferguson	Industrial Distribution	32.53B
FET	Forum Energy Technologies	Energy Equipment & Services	110.86M
FEYE	FireEye	Software	4.35B
FF	FutureFuel	Chemicals	336.98M
FFBC	First Financial Bancorp	Banks	2.13B
FFBW	FFBW, Inc.	Thrifts & Mortgage Finance	80.77M
FFHL	Fuwei Films	Chemicals	34.94M
FFIC	Flushing Financial	Banks	683.70M
FFIE	Faraday Future Intelligent Electric	Auto Manufacturers	2.91B
FFIN	First Financial Bankshares	Banks	6.18B
FFIV	F5 Networks	Communications Equipment	12.24B
FFNW	First Financial Northwest	Banks	154.56M
FFWM	First Foundation	Banks	1.11B
FGBI	First Guaranty Bancshares	Banks	185.57M
FGEN	FibroGen	Biotechnology	1.05B
FGF	FG Financial Group	Insurance	26.10M
FHB	First Hawaiian	Banks	3.45B
FHI	Federated Hermes	Asset Management	3.08B
FHN	First Horizon National	Banks	8.37B
FHS	First High-School Education Group	Education & Training Services	122.15M
FHTX	Foghorn Therapeutics	Biotechnology	514.16M
FI	Frank's International	Energy Equipment & Services	671.49M
FIBK	First Interstate BancSystem	Banks	2.57B
FICO	Fair Isaac	Software	12.81B
FICV	Frontier Investment	Shell Companies	243.75M
FIGS	FIGS	Apparel Manufacturing	7.02B
FINM	Marlin Technology	Shell Companies	500.42M
FINV	FinVolution Group	Consumer Finance	1.75B
FIS	Fidelity National Information Services	IT Services	76.46B
FISI	Financial Institutions	Banks	467.34M
FISV	Fiserv	IT Services	73.29B
FITB	Fifth Third Bancorp	Banks	26.70B
FIVE	Five Below	Specialty Retail	10.44B
FIVN	Five9	Software	11.75B
FIX	Comfort Systems USA	Construction & Engineering	2.60B
FIXX	Homology Medicines	Biotechnology	435.01M
FIZZ	National Beverage	Beverages	4.90B
FKWL	Franklin Wireless	Communications Equipment	102.46M
FL	Foot Locker	Specialty Retail	5.42B
FLAC	Frazier Lifesciences Acquisition	Shell Companies	174.49M
FLDM	Fluidigm	Life Sciences Tools & Services	517.94M
FLEX	Flex Ltd.	Electronic Equipment, Instruments & C...	8.86B
FLGC	Flora Growth	Drug Manufacturers-Specialty & Generic	299.63M
FLGT	Fulgent Genetics	Health Care Providers & Services	2.77B
FLIC	First of Long Island	Banks	468.19M
FLL	Full House Resorts	Hotels, Restaurants & Leisure	298.12M
FLME	Flame Acquisition	Shell Companies	347.52M
FLMN	Falcon Minerals	Oil, Gas & Consumable Fuels	206.05M
FLNG	Flex LNG	Marine	859.12M
FLNT	Fluent	Media	197.53M
FLO	Flowers Foods	Food Products	4.99B
FLOW	SPX Flow	Machinery	3.20B
FLR	Fluor Corporation	Construction & Engineering	2.23B
FLS	Flowserve	Machinery	4.67B
FLT	FleetCor Technologies	IT Services	21.54B
FLUX	Flux Power Holdings	Electrical Equipment	103.91M
FLWS	1-800-Flowers.com	Internet & Direct Marketing Retail	2.13B
FLXN	Flexion Therapeutics	Biotechnology	304.27M
FLXS	Flexsteel Industries	Household Durables	232.29M
FLYW	Flywire	Information Technology Services	5.00B
FMAC	FirstMark Horizon Acquisition	Shell Companies	505.60M
FMAO	Farmers & Merchants Bancorp	Banks	257.35M
FMBH	First Mid Bancshares	Banks	717.36M
FMBI	First Midwest Bancorp	Banks	2.05B
FMC	FMC Corporation	Chemicals	12.63B
FMIV	Forum Merger IV	Shell Companies	374.31M
FMNB	Farmers National Banc	Banks	422.33M
